2,1,10697,4,52066,0
4,2,11876,6,34410,2372
6,3,7873,8,58482,12
8,4,9229,8,321,0
10,5,11689,8,32682,0
12,6,5849,8,8869,0
14,7,12096,9,57854,0
16,8,10579,12,42052,0
18,9,8889,16,34461,0
20,10,7705,15,22810,0
22,11,6313,17,12114,0
24,12,10987,16,7725,0
26,13,11429,17,3606,0
28,14,9875,19,61730,0
30,15,12761,22,61236,0
32,16,9805,26,58814,0
34,17,8053,30,51533,0
36,18,9286,31,49538,0
38,19,3333,29,46668,0
40,20,11611,28,45297,0
42,21,7828,33,42846,0
44,22,7243,35,39859,0
46,23,8623,37,41661,0
48,24,5336,42,37332,0
50,25,8545,45,34199,0
52,26,14017,47,36461,0
54,27,11906,43,33335,0
56,28,11401,50,31225,0
58,29,11906,47,30956,0
60,30,10246,54,28845,0
62,31,10345,56,26081,0
64,32,6629,56,24619,0
66,33,10585,58,25883,0
68,34,9143,58,24001,0
70,35,9509,61,23025,0
72,36,7112,61,19916,0
74,37,7368,63,18949,0
76,38,10732,67,22064,0
78,39,13553,69,24032,0
80,40,12993,71,22534,0
82,41,13971,73,23174,0
84,42,7751,69,15506,0
86,43,13371,76,21390,0
88,44,12930,79,20375,0
90,45,12487,80,19658,0
92,46,11345,83,18440,0
94,47,10417,78,17361,0
96,48,10203,79,15307,0
98,49,9999,79,15001,0
100,50,6536,81,13072,0
102,51,6410,82,12821,0
104,52,6289,85,12580,0
106,53,11110,87,14816,0
108,54,10909,87,14546,0
110,55,10714,89,14286,0
112,56,8771,95,13158,0
114,57,8709,95,12887,0
116,58,8475,97,12712,0
118,59,8973,99,12180,0
120,60,9838,100,13114,0
122,61,8063,84,8068,0
124,62,7936,83,7939,0
126,63,7812,85,7815,0
128,64,7691,83,7694,0
130,65,11362,100,11365,0
132,66,7462,90,7464,0
134,67,7352,85,7355,0
136,68,7246,87,7248,0
138,69,11429,114,11429,0
140,70,9389,100,9390,0
142,71,11905,122,11904,0
144,72,6849,85,6851,0
146,73,6757,90,6758,0
148,74,6667,92,6668,0
150,75,6579,96,6580,0
152,76,12985,137,11364,0
154,77,10257,130,10256,0
156,78,12664,130,11252,0
158,79,14145,141,11956,0
160,80,14113,151,12051,0
162,81,13133,153,11257,0
164,82,13391,138,10709,0
166,83,11906,135,9524,0
168,84,11765,131,8824,0
170,85,11625,139,8721,0
172,86,8668,142,8605,0
174,87,7907,121,7411,0
176,88,7493,127,7489,0
178,89,13131,166,10101,0
180,90,13189,163,9890,0
182,91,12081,164,9661,0
184,92,12097,165,9408,0
186,93,12161,159,9118,0
188,94,12033,158,9022,0
190,95,12153,162,8680,0
192,96,12373,149,8247,0
194,97,12247,155,8163,0
196,98,11846,151,7733,0
198,99,12076,145,7586,0
200,100,12376,152,7426,0
202,101,12251,161,7353,0
204,102,9709,159,7281,0
206,103,9617,154,7211,0
208,104,9949,162,7036,0
210,105,9433,153,6289,0
212,106,9346,148,6230,0
214,107,9259,160,6173,0
216,108,9175,147,6116,0
218,109,9091,148,6060,0
220,110,9009,125,4505,0
222,111,8929,129,4465,0
224,112,8849,131,4425,0
226,113,8771,129,4386,0
228,114,8695,132,4348,0
230,115,8621,125,4311,0
232,116,8547,123,4274,0
234,117,8475,130,4238,0
236,118,8403,136,4202,0
238,119,8333,136,4167,0
240,120,8265,139,4133,0
242,121,8197,135,4099,0
244,122,8129,64,3,0
246,123,7057,75,1009,0
248,124,7998,45,4,0
250,125,7935,48,3,0
252,126,7873,48,3,0
254,127,7811,52,3,0
256,128,7750,48,3,0
258,129,7691,49,3,0
260,130,7632,46,3,0
262,131,7574,47,3,0
264,132,7517,44,3,0
266,133,7461,55,3,0
268,134,7407,50,2,0
270,135,7351,46,3,0
272,136,7299,46,2,0
274,137,7246,49,2,0
276,138,7194,47,2,0
278,139,7142,46,2,0
280,140,7092,49,2,0
282,141,7042,56,2,0
284,142,6993,35,2,0
286,143,6944,49,2,0
288,144,10345,159,3449,0
290,145,6849,45,2,0
292,146,10204,159,3402,0
294,147,10135,161,3379,0
296,148,10066,162,3356,0
298,149,10000,166,3334,0
300,150,9934,161,3312,0
302,151,9868,167,3290,0
304,152,9802,169,3268,0
306,153,9739,166,3247,0
308,154,9676,169,3226,0
310,155,9616,168,3206,0
312,156,9553,170,3185,0
314,157,9496,172,3165,0
316,158,6291,174,3145,0
318,159,6251,166,3125,0
320,160,6213,169,3106,0
322,161,6173,174,3086,0
324,162,6135,177,3067,0
326,163,6099,177,3049,0
328,164,6061,183,3030,0
330,165,6025,180,3012,0
332,166,5989,183,2994,0
334,167,5953,182,2976,0
336,168,5919,185,2959,0
338,169,5883,189,2941,0
340,170,5849,177,2923,0
342,171,5815,186,2907,0
344,172,5783,185,2890,0
346,173,5751,188,2873,0
348,174,5717,190,2857,0
350,175,5685,190,2840,0
352,176,6275,172,2512,0
354,177,5619,191,2808,0
356,178,6705,157,2235,0
358,179,5929,193,2592,0
360,180,5529,195,2760,0
362,181,5889,188,2550,0
364,182,6377,173,2277,0
366,183,6793,157,2038,0
368,184,7207,147,1803,0
370,185,7553,134,1600,0
372,186,8091,136,1303,0
374,187,8623,111,1009,0
376,188,9069,102,758,0
378,189,9693,69,418,0
380,190,9833,73,320,0
382,191,9553,68,433,0
384,192,9445,92,460,0
386,193,10305,48,3,0
388,194,10253,48,3,0
390,195,10203,49,2,0
392,196,10151,47,2,0
394,197,7576,209,2525,0
396,198,10049,50,2,0
398,199,7501,207,2500,0
400,200,7465,211,2488,0
402,201,7426,213,2475,0
404,202,7390,222,2463,0
406,203,7354,219,2450,0
408,204,7321,220,2439,0
410,205,7285,218,2427,0
412,206,7249,214,2415,0
414,207,7213,217,2403,0
416,208,7180,217,2392,0
418,209,7144,215,2380,0
420,210,7111,220,2369,0
422,211,7078,223,2358,0
424,212,7045,226,2347,0
426,213,7012,229,2336,0
428,214,6979,225,2325,0
430,215,6946,222,2314,0
432,216,6916,228,2304,0
434,217,4588,50,1,0
436,218,4567,50,1,0
438,219,6820,228,2272,0
440,220,4525,55,1,0
442,221,4505,65,1,0
444,222,4485,49,1,0
